,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
0,460008.OF,华泰柏瑞基金,2069256783.09
1,485022.OF,工银瑞信,4741025508.89
2,485105.OF,工银瑞信,990623991.24
3,485107.OF,工银瑞信,1387561321.15
4,485120.OF,工银瑞信,266256263.69
5,519137.OF,海富通基金,4904967325.64
6,519138.OF,海富通基金,987128125.14
7,519225.OF,海富通基金,405839969.88
8,519322.OF,浦银安盛基金,10090493252.67
9,519324.OF,浦银安盛基金,344264854.13
10,519328.OF,浦银安盛基金,1023467315.2
11,519330.OF,浦银安盛基金,2110001581.32
12,519332.OF,浦银安盛基金,9567563736.88
13,519334.OF,浦银安盛基金,347945347.22
14,519680.OF,交银施罗德,4842409447.44
15,519718.OF,交银施罗德,16415507861.04
16,519743.OF,交银施罗德,2746717358.17
17,519746.OF,交银施罗德,2257229095.82
18,519762.OF,交银施罗德,781772264.18
19,519776.OF,交银施罗德,559591305.61
20,519782.OF,交银施罗德,23215612836.0
21,519784.OF,交银施罗德,1805530818.33
22,530021.OF,建信基金,11480447519.07
23,530029.OF,建信基金,8593187385.97
24,531028.OF,建信基金,27413938499.96
25,650001.OF,英大基金,446102645.08
26,675041.OF,西部利得基金,4036078617.16
27,960040.OF,南方基金,
28,970096.OF,东证融汇,2934298402.16
29,970098.OF,东证融汇,4910760220.75
30,970132.OF,东证融汇,5146193311.86
31,H000355.OF,南方基金,
32,H202108.OF,南方基金,
33,H217003.OF,招商基金,
34,160128.SZ,南方基金,309282434.96
35,160515.SZ,博时基金,606987570.04
36,160618.SZ,鹏华基金,963962513.32
37,161014.SZ,富国基金,1285285188.75
38,161019.SZ,富国基金,4215195729.42
39,161115.SZ,易方达基金,10814027373.58
40,161117.SZ,易方达基金,2105833739.21
41,162715.SZ,广发基金,861636677.89
42,164703.SZ,汇添富基金,1609627315.41
43,000005.OF,嘉实基金,134591949.86
44,000032.OF,易方达基金,22985678992.21
45,000037.OF,广发基金,8017607961.58
46,000053.OF,鹏华基金,824453188.35
47,000084.OF,博时基金,23261812795.95
48,000090.OF,民生加银基金,1396368721.72
49,000111.OF,易方达基金,3368114608.34
50,000116.OF,嘉实基金,317021629.39
51,000137.OF,民生加银基金,1635759436.83
52,000139.OF,富国基金,19774004059.94
53,000147.OF,易方达基金,497262115.5
54,000183.OF,嘉实基金,2332998366.57
55,000186.OF,华泰柏瑞基金,17677364602.85
56,000187.OF,华泰柏瑞基金,4436896944.5
57,000191.OF,富国基金,24645952915.15
58,000205.OF,易方达基金,11594333948.0
59,000207.OF,建信基金,3385878599.8
60,000244.OF,天弘基金,69686709.38
61,000252.OF,景顺长城基金,276339482.96
62,000254.OF,长城基金,151653268.55
63,000265.OF,易方达基金,2519684692.59
64,000295.OF,鹏华基金,50430448.69
65,000345.OF,鹏华基金,909057520.2
66,000346.OF,建信基金,90399432.3
67,000355.OF,南方基金,764142110.26
68,000402.OF,工银瑞信,14449919550.88
69,000469.OF,富国基金,1234189137.54
70,000516.OF,富国基金,4743297657.83
71,000546.OF,兴业基金,2675775241.17
72,000552.OF,中加基金,1070956592.33
73,000606.OF,天弘基金,3882678077.34
74,000783.OF,博时基金,16565579065.84
75,000799.OF,民生加银基金,0.0
76,000815.OF,鑫元基金,380148600.64
77,000914.OF,中加基金,9182284460.43
78,000931.OF,国寿安保基金,879330881.76
79,000943.OF,工银瑞信,234393998.01
80,001246.OF,兴银基金,5123430316.48
81,001299.OF,兴业基金,11269125318.39
82,001368.OF,兴业基金,5014386929.6
83,001369.OF,兴业基金,7968151618.72
84,001545.OF,博时基金,1576356070.91
85,001578.OF,博时基金,7657717992.66
86,001619.OF,兴银基金,2014841739.89
87,001783.OF,兴银基金,5114241668.1
88,001785.OF,民生加银基金,1635759436.83
89,001819.OF,兴证全球基金,10063687455.12
90,001911.OF,博时基金,2715796565.16
91,001960.OF,兴银基金,3700723096.18
92,001961.OF,博时基金,3641893569.25
93,001993.OF,博时基金,1519568266.92
94,002109.OF,博时基金,1012253242.08
95,002140.OF,博时基金,1097421142.25
96,002143.OF,博时基金,1001676741.37
97,002169.OF,永赢基金,7684177356.5
98,002175.OF,博时基金,53549105.99
99,002188.OF,鹏华基金,10567398631.67
100,002198.OF,博时基金,1325231712.03
101,002206.OF,博时基金,510532960.92
102,002268.OF,兴业基金,4389639752.46
103,002301.OF,兴业基金,8983715023.06
104,002336.OF,创金合信基金,1106957012.19
105,002341.OF,招商基金,1523122965.42
106,002354.OF,博时基金,427199302.3
107,002377.OF,建信基金,385000576.82
108,002395.OF,鹏华基金,53831504.04
109,002438.OF,创金合信基金,1036667778.82
110,002445.OF,兴业基金,4417273534.22
111,002447.OF,博时基金,1013565048.52
112,002466.OF,博时基金,3797923163.83
113,002483.OF,富国基金,411174103.0
114,002524.OF,兴业基金,214717519.07
115,002548.OF,嘉实基金,1453193507.13
116,002549.OF,嘉实基金,2588414740.55
117,002550.OF,嘉实基金,1066487681.69
118,002552.OF,华夏基金,3004346272.69
119,002568.OF,博时基金,1023330020.6
120,002578.OF,博时基金,5281675290.96
121,002600.OF,易方达基金,4019455329.8
122,002603.OF,工银瑞信,14869099732.47
123,002625.OF,博时基金,311954848.94
124,002638.OF,兴业基金,12266624738.04
125,002698.OF,博时基金,6057017439.83
126,002716.OF,博时基金,608927461.57
127,002750.OF,工银瑞信,15358534047.6
128,002754.OF,博时基金,1066779577.37
129,002755.OF,博时基金,488815125.23
130,002781.OF,博时基金,5315623491.06
131,002832.OF,工银瑞信,1412444517.89
132,002864.OF,广发基金,1413760846.97
133,002868.OF,鹏华基金,1062806802.55
134,002898.OF,富国基金,24047232310.46
135,002904.OF,博时基金,3103130012.28
136,002927.OF,长盛基金,2113378178.72
137,002929.OF,博时基金,1327692097.38
138,002930.OF,博时基金,213383631.82
139,002970.OF,博时基金,442726613.34
140,002985.OF,中银基金,60281888.77
141,002991.OF,嘉实基金,1518422255.94
142,002994.OF,招商基金,55952601.77
143,003039.OF,广发基金,1003273633.69
144,003056.OF,嘉实基金,2362965724.11
145,003102.OF,长盛基金,1766300134.47
146,003155.OF,中加基金,2296490324.67
147,003162.OF,博时基金,3073202154.61
148,003188.OF,博时基金,9441146398.96
149,003192.OF,创金合信基金,938744724.1
150,003193.OF,创金合信基金,207380265.47
151,003209.OF,鹏华基金,1081162506.32
152,003213.OF,中银基金,21399563057.91
153,003214.OF,易方达基金,4463469878.55
154,003223.OF,广发基金,7361729420.82
155,003258.OF,博时基金,8439635612.020001
156,003260.OF,博时基金,276842478.0
157,003265.OF,招商基金,3431342646.25
158,003268.OF,博时基金,1580627989.99
159,003269.OF,招商基金,3678014123.15
160,003280.OF,鹏华基金,19112830204.72
161,003285.OF,国寿安保基金,13255387716.04
162,003289.OF,创金合信基金,1018256049.43
163,003290.OF,长城基金,991040008.58
164,003309.OF,兴业基金,790890062.43
165,003313.OF,中银基金,24767085467.25
166,003315.OF,景顺长城基金,2515972962.81
167,003327.OF,万家基金,24869355045.95
168,003329.OF,万家基金,3946313590.86
169,003417.OF,中加基金,1448829818.73
170,003428.OF,中加基金,2116806326.79
171,003445.OF,中加基金,6259443608.49
172,003452.OF,招商基金,6615651884.23
173,003454.OF,招商基金,2058188997.92
174,003528.OF,汇添富基金,15082675817.01
175,003547.OF,鹏华基金,4377563403.2
176,003571.OF,招商基金,8001558656.22
177,003590.OF,建信基金,7161063598.16
178,003605.OF,景顺长城基金,9766210337.27
179,003607.OF,博时基金,2088125673.25
180,003640.OF,兴业基金,2439856772.35
181,003651.OF,博时基金,1475261339.53
182,003660.OF,中加基金,1038236290.38
183,003662.OF,鹏华基金,3764425147.96
184,003671.OF,兴业基金,1742123606.58
185,003673.OF,中加基金,2019725727.35
186,003703.OF,博时基金,1054784853.47
187,003730.OF,博时基金,1063465089.11
188,003746.OF,广发基金,7402693932.76
189,003770.OF,中银基金,5520980920.57
190,003809.OF,招商基金,1651665472.72
191,003832.OF,中银基金,17051536451.35
192,003847.OF,华安基金,5978145019.19
193,003859.OF,招商基金,9463706676.23
194,003863.OF,招商基金,7744052293.92
195,003869.OF,长信基金,4679489719.93
196,003880.OF,嘉实基金,2997218644.49
197,003929.OF,中银证券,33755031926.35
198,003949.OF,兴证全球基金,25261345730.11
199,003983.OF,鹏华基金,1622243335.28
200,004020.OF,广发基金,2278505777.35
201,004027.OF,广发基金,2380281182.18
202,004030.OF,嘉实基金,1042500882.0
203,004031.OF,鑫元基金,1563375097.01
204,004032.OF,工银瑞信,7898726947.46
205,004042.OF,华夏基金,30444889610.93
206,004052.OF,华夏基金,4714690355.770001
207,004061.OF,华夏基金,1020363741.24
208,004118.OF,博时基金,1314802226.71
209,004122.OF,兴银基金,3046224663.18
210,004126.OF,浦银安盛基金,981819583.93
211,004127.OF,鹏华基金,9519073022.41
212,004136.OF,博时基金,939733861.48
213,004140.OF,兴业基金,5827613493.95
214,004141.OF,兴业基金,2578012572.74
215,004200.OF,博时基金,36926032218.74
216,004230.OF,永赢基金,2387361953.62
217,004238.OF,永赢基金,3076825180.12
218,004307.OF,博时基金,3481654575.2
219,004322.OF,创金合信基金,509832040.03
220,004334.OF,博时基金,6124666422.34
221,004366.OF,博时基金,1080228960.25
222,004388.OF,鹏华基金,12462651959.72
223,004438.OF,鹏华基金,367987763.51
224,004459.OF,鑫元基金,1035023383.87
225,004479.OF,博时基金,1935013470.72
226,004498.OF,鹏华基金,2004677133.98
227,004499.OF,鹏华基金,2419110840.93
228,004503.OF,鹏华基金,692533892.02
229,004504.OF,鹏华基金,421946868.64
230,004544.OF,嘉实基金,2667285246.93
231,004547.OF,华夏基金,299324314.4
232,004555.OF,南方基金,5367320660.2
233,004601.OF,博时基金,539138440.1
234,004614.OF,鹏扬基金,5638942463.39
235,004637.OF,华夏基金,1017232191.9
236,004639.OF,华夏基金,2287497218.79
237,004655.OF,汇添富基金,2029318668.56
238,004672.OF,华夏基金,27268355553.05
239,004689.OF,博时基金,513419156.72
240,004705.OF,南方基金,4979788619.15
241,004722.OF,中银基金,48553466061.25
242,004728.OF,中欧基金,153113005.74
243,004736.OF,富国基金,1841501944.63
244,004797.OF,国寿安保基金,5447246828.25
245,004821.OF,国寿安保基金,5327773581.14
246,004839.OF,银华基金,3876729470.26
247,004859.OF,泰康基金,7851085699.62
248,004882.OF,中银基金,7978965377.15
249,004887.OF,长信基金,1072492343.06
250,004899.OF,中银基金,1078943466.87
251,004910.OF,中加基金,4404483304.57
252,004911.OF,中加基金,8904664574.4
253,004919.OF,兴证全球基金,5025272990.78
254,004920.OF,富国基金,8532217618.61
255,004923.OF,华夏基金,2055962284.06
256,004940.OF,中加基金,251125834.16
257,004954.OF,中银证券,1051842848.99
258,004956.OF,中银证券,21163220.87
259,004978.OF,富国基金,4577128522.72
260,005024.OF,南方基金,3069312193.28
261,005072.OF,中银基金,612139743.1
262,005073.OF,永赢基金,2065471222.73
263,005099.OF,易方达基金,249526610.41
264,005124.OF,易方达基金,4055937598.71
265,005171.OF,富国基金,1887882139.67
266,005200.OF,浦银安盛基金,1017677238.66
267,005307.OF,财通证券资管,15276685711.44
268,005309.OF,中银证券,42772714300.62
269,005321.OF,中银证券,11804506004.24
270,005322.OF,中银基金,3117209501.85
271,005336.OF,中加基金,7214170182.08
272,005362.OF,中银证券,1097255630.06
273,005364.OF,华夏基金,5163646636.5
274,005369.OF,富国基金,4014295339.14
275,005383.OF,富国基金,253249804.02
276,005388.OF,兴业基金,2989437695.76
277,005393.OF,南方基金,8126033841.76
278,005398.OF,鹏扬基金,1273103260.93
279,005419.OF,中欧基金,880092058.65
280,005432.OF,上银基金,2554146473.91
281,005435.OF,国投瑞银基金,2358062783.87
282,005439.OF,易方达基金,1007431833.22
283,005442.OF,兴业基金,5067681742.99
284,005462.OF,博时基金,2009999507.38
285,005469.OF,南方基金,2604502735.2
286,005525.OF,工银瑞信,5116552882.4
287,005531.OF,华安基金,1854640201.21
288,005577.OF,交银施罗德,12222214486.85
289,005590.OF,汇添富基金,5875127784.68
290,005594.OF,招商基金,5299124093.78
291,005606.OF,招商基金,1012115947.03
292,005622.OF,博时基金,5184511346.61
293,005631.OF,博时基金,8236499493.99
294,005648.OF,招商基金,2237395506.43
295,005666.OF,上银基金,8166658008.93
296,005670.OF,嘉实基金,3475986715.15
297,005684.OF,财通证券资管,2337028698.92
298,005703.OF,永赢基金,5142082609.24
299,005705.OF,永赢基金,6537814754.85
300,005709.OF,华安基金,5359170059.17
301,005710.OF,兴业基金,1212029578.68
302,005712.OF,兴证全球基金,9999689140.4
303,005718.OF,长信基金,10037320949.49
304,005719.OF,招商基金,1832387711.29
305,005736.OF,中欧基金,3158564494.5
306,005740.OF,易方达基金,7868017062.42
307,005754.OF,平安基金,9742252940.96
308,005772.OF,工银瑞信,14117119258.88
309,005781.OF,华富基金,4995612400.24
310,005782.OF,创金合信基金,501039302.38
311,005784.OF,创金合信基金,306978082.22
312,005791.OF,华夏基金,2021443308.04
313,005816.OF,国泰基金,220434150.2
314,005820.OF,博时基金,3401412352.59
315,005831.OF,鹏华基金,3508260104.59
316,005836.OF,创金合信基金,545708874.3
317,005841.OF,富国基金,7155346548.44
318,005842.OF,海富通基金,522100927.63
319,005845.OF,长城基金,1991179981.62
320,005853.OF,财通基金,535151491.94
321,005854.OF,财通基金,503375471.2
322,005862.OF,华夏基金,4026062762.32
323,005864.OF,国投瑞银基金,2134880810.72
324,005871.OF,天弘基金,4023704864.92
325,005879.OF,中加基金,2021899553.0
326,005897.OF,平安基金,3569243636.42
327,005898.OF,浦银安盛基金,1827923012.44
328,005920.OF,富国基金,969605321.21
329,005921.OF,农银汇理基金,5257320585.84
330,005971.OF,平安基金,731854421.07
331,005972.OF,交银施罗德,1342874408.39
332,005988.OF,兴业基金,658978369.87
333,006029.OF,鹏华基金,3129504429.73
334,006032.OF,创金合信基金,333855540.17
335,006043.OF,永赢基金,3151737250.28
336,006045.OF,长城基金,2141245130.88
337,006053.OF,中航基金,3619636212.9
338,006066.OF,中加基金,2788015020.14
339,006076.OF,创金合信基金,3096225913.95
340,006082.OF,鑫元基金,1050446704.65
341,006088.OF,永赢基金,1299057296.85
342,006097.OF,平安基金,945308108.44
343,006107.OF,招商基金,2537306946.32
344,006112.OF,易方达基金,1099889580.08
345,006116.OF,国泰基金,2908374715.8
346,006120.OF,国联基金,2026887447.03
347,006137.OF,广发基金,4251590243.03
348,006150.OF,招商基金,291951526.98
349,006151.OF,南方基金,5068226334.5
