,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
0,460008.OF,华泰柏瑞基金,2072447326.04
1,485022.OF,工银瑞信,4266388009.85
2,485105.OF,工银瑞信,825332554.53
3,485107.OF,工银瑞信,1810950165.31
4,485120.OF,工银瑞信,236700570.17
5,519137.OF,海富通基金,3501701194.89
6,519138.OF,海富通基金,1260191522.75
7,519225.OF,海富通基金,416923536.76
8,519322.OF,浦银安盛基金,10079967797.01
9,519324.OF,浦银安盛基金,343775369.92
10,519328.OF,浦银安盛基金,1029467144.46
11,519330.OF,浦银安盛基金,1868773954.04
12,519332.OF,浦银安盛基金,9472212993.0
13,519334.OF,浦银安盛基金,1328508924.99
14,519680.OF,交银施罗德,3158814306.82
15,519718.OF,交银施罗德,6509554431.23
16,519743.OF,交银施罗德,5176933670.44
17,519746.OF,交银施罗德,1834684852.22
18,519762.OF,交银施罗德,604751191.47
19,519776.OF,交银施罗德,8371303209.03
20,519782.OF,交银施罗德,12235447698.32
21,519784.OF,交银施罗德,1794270085.4
22,530021.OF,建信基金,7817678538.25
23,530029.OF,建信基金,8403959068.38
24,531028.OF,建信基金,17179142192.83
25,650001.OF,英大基金,466090453.92
26,675041.OF,西部利得基金,3647185415.23
27,960040.OF,南方基金,
28,970096.OF,东证融汇,10504363266.66
29,970098.OF,东证融汇,9157698750.03
30,970132.OF,东证融汇,3045560066.34
31,H000355.OF,南方基金,
32,H202108.OF,南方基金,
33,H217003.OF,招商基金,
34,160128.SZ,南方基金,317521430.42
35,160515.SZ,博时基金,452728703.55
36,160618.SZ,鹏华基金,1139339834.71
37,161014.SZ,富国基金,1289144635.91
38,161019.SZ,富国基金,2620469278.03
39,161115.SZ,易方达基金,9592294220.0
40,161117.SZ,易方达基金,1711302866.08
41,162715.SZ,广发基金,1020731620.67
42,164703.SZ,汇添富基金,1614215283.95
43,000005.OF,嘉实基金,266332935.37
44,000032.OF,易方达基金,11174161514.55
45,000037.OF,广发基金,5530701360.42
46,000053.OF,鹏华基金,779964731.08
47,000084.OF,博时基金,9740198052.62
48,000090.OF,民生加银基金,1353608661.0
49,000111.OF,易方达基金,3393897639.0
50,000116.OF,嘉实基金,316070144.86
51,000137.OF,民生加银基金,1609998021.12
52,000139.OF,富国基金,10593286164.42
53,000147.OF,易方达基金,387561307.56
54,000183.OF,嘉实基金,1413749768.83
55,000186.OF,华泰柏瑞基金,9653897070.68
56,000187.OF,华泰柏瑞基金,4698244637.86
57,000191.OF,富国基金,14833971024.87
58,000205.OF,易方达基金,6221858546.32
59,000207.OF,建信基金,316634289.22
