,thscode,ths_fund_supervisor_fund,ths_mergesize_fund
0,460008.OF,华泰柏瑞基金,2120763064.71
1,485022.OF,工银瑞信,2852930535.62
2,485105.OF,工银瑞信,888192330.42
3,485107.OF,工银瑞信,817156687.53
4,485120.OF,工银瑞信,266282942.15
5,519137.OF,海富通基金,3218463596.59
6,519138.OF,海富通基金,974326235.55
7,519225.OF,海富通基金,401168551.64
8,519322.OF,浦银安盛基金,10116168236.82
9,519324.OF,浦银安盛基金,340206451.83
10,519328.OF,浦银安盛基金,1015053451.02
11,519330.OF,浦银安盛基金,4101322793.17
12,519332.OF,浦银安盛基金,9757673862.17
13,519334.OF,浦银安盛基金,1887853439.62
14,519680.OF,交银施罗德,4542072622.87
15,519718.OF,交银施罗德,16721277048.96
16,519743.OF,交银施罗德,3289871982.98
17,519746.OF,交银施罗德,2545693755.5
18,519762.OF,交银施罗德,568321500.11
19,519776.OF,交银施罗德,556854717.94
20,519782.OF,交银施罗德,18480225838.97
21,519784.OF,交银施罗德,1790307506.69
22,530021.OF,建信基金,11503673885.26
23,530029.OF,建信基金,8522215085.1
24,531028.OF,建信基金,24200351993.4
25,650001.OF,英大基金,524347350.44
26,675041.OF,西部利得基金,4096700585.17
27,960040.OF,南方基金,
28,970096.OF,东证融汇,1657658184.39
29,970098.OF,东证融汇,2077367575.77
30,970132.OF,东证融汇,5017336471.08
31,H000355.OF,南方基金,
32,H202108.OF,南方基金,
33,H217003.OF,招商基金,
34,160128.SZ,南方基金,308200867.02
35,160515.SZ,博时基金,606064405.11
36,160618.SZ,鹏华基金,834323140.23
37,161014.SZ,富国基金,1275360892.84
38,161019.SZ,富国基金,3142541007.11
39,161115.SZ,易方达基金,6892973650.65
40,161117.SZ,易方达基金,2122661792.35
41,162715.SZ,广发基金,274464237.73
42,164703.SZ,汇添富基金,1591014704.23
43,000005.OF,嘉实基金,123198714.18
44,000032.OF,易方达基金,19988628078.75
45,000037.OF,广发基金,4273207448.3
46,000053.OF,鹏华基金,815238875.37
47,000084.OF,博时基金,20173302848.04
48,000090.OF,民生加银基金,1461248731.48
49,000111.OF,易方达基金,3196774408.99
50,000116.OF,嘉实基金,635033679.93
51,000137.OF,民生加银基金,1618822946.04
52,000139.OF,富国基金,20440732712.7
53,000147.OF,易方达基金,2646048460.0
54,000183.OF,嘉实基金,2359828867.04
55,000186.OF,华泰柏瑞基金,12964073230.21
56,000187.OF,华泰柏瑞基金,2012191581.75
57,000191.OF,富国基金,23223665736.15
58,000205.OF,易方达基金,10502167604.39
59,000207.OF,建信基金,3363678835.65
60,000244.OF,天弘基金,73832846.9
61,000252.OF,景顺长城基金,205313380.64
62,000254.OF,长城基金,156076763.78
63,000265.OF,易方达基金,2257282536.57
64,000295.OF,鹏华基金,52071043.6
65,000345.OF,鹏华基金,922373354.04
66,000346.OF,建信基金,53933490.26
67,000355.OF,南方基金,2367497034.28
68,000402.OF,工银瑞信,12214286444.69
69,000469.OF,富国基金,1216470558.35
70,000516.OF,富国基金,4683272944.32
71,000546.OF,兴业基金,2425214199.17
72,000552.OF,中加基金,1058262330.15
73,000606.OF,天弘基金,7145552002.2
74,000783.OF,博时基金,16328011434.57
75,000799.OF,民生加银基金,0.0
76,000815.OF,鑫元基金,381141999.86
77,000914.OF,中加基金,8360205841.36
78,000931.OF,国寿安保基金,732894083.67
79,000943.OF,工银瑞信,146350941.46
80,001246.OF,兴银基金,5133746653.07
81,001299.OF,兴业基金,8684039800.97
82,001368.OF,兴业基金,5025480618.87
83,001369.OF,兴业基金,7911664950.24
84,001545.OF,博时基金,1578787874.73
85,001578.OF,博时基金,343197216.92
86,001619.OF,兴银基金,1993030769.27
87,001783.OF,兴银基金,5056464775.72
88,001785.OF,民生加银基金,1618822946.04
89,001819.OF,兴证全球基金,10108028452.84
90,001911.OF,博时基金,2691752126.76
91,001960.OF,兴银基金,3663887429.06
92,001961.OF,博时基金,3611757327.63
93,001993.OF,博时基金,1353731129.61
94,002109.OF,博时基金,503145122.21
95,002140.OF,博时基金,1085589611.92
96,002143.OF,博时基金,984433041.58
97,002169.OF,永赢基金,6925799933.42
98,002175.OF,博时基金,57536394.84
99,002188.OF,鹏华基金,9584642978.13
100,002198.OF,博时基金,1309520445.75
101,002206.OF,博时基金,503788102.45
102,002268.OF,兴业基金,4396428203.72
103,002301.OF,兴业基金,8526648737.3
104,002336.OF,创金合信基金,1097158701.95
105,002341.OF,招商基金,1502599768.48
106,002354.OF,博时基金,441095979.45
107,002377.OF,建信基金,1016837451.47
108,002395.OF,鹏华基金,55407135.08
109,002438.OF,创金合信基金,1025868698.91
110,002445.OF,兴业基金,4430188217.73
111,002447.OF,博时基金,1002825879.31
112,002466.OF,博时基金,3753272973.77
113,002483.OF,富国基金,409058729.34
114,002524.OF,兴业基金,215044509.41
115,002548.OF,嘉实基金,1437739397.35
116,002549.OF,嘉实基金,1076392976.13
117,002550.OF,嘉实基金,1040645254.88
118,002552.OF,华夏基金,2966692052.12
119,002568.OF,博时基金,1012839897.24
120,002578.OF,博时基金,5236213328.86
121,002600.OF,易方达基金,4037557882.23
122,002603.OF,工银瑞信,14856652999.85
123,002625.OF,博时基金,309371411.68
124,002638.OF,兴业基金,10558460735.76
125,002698.OF,博时基金,6265202215.020001
126,002716.OF,博时基金,600877564.7
127,002750.OF,工银瑞信,15368990147.29
128,002754.OF,博时基金,1050935393.39
129,002755.OF,博时基金,482433578.35
130,002781.OF,博时基金,5235233791.65
131,002832.OF,工银瑞信,1408755185.73
132,002864.OF,广发基金,1654981937.25
133,002868.OF,鹏华基金,1053365280.35
134,002898.OF,富国基金,23856829972.78
135,002904.OF,博时基金,3067199271.13
136,002927.OF,长盛基金,2075304404.45
137,002929.OF,博时基金,1283518323.49
138,002930.OF,博时基金,211318385.24
139,002970.OF,博时基金,445842679.42
140,002985.OF,中银基金,58898336.51
141,002991.OF,嘉实基金,1269722891.79
142,002994.OF,招商基金,55497830.83
143,003039.OF,广发基金,994090908.66
144,003056.OF,嘉实基金,2511902275.79
145,003102.OF,长盛基金,2007456273.44
146,003155.OF,中加基金,2275664098.71
147,003162.OF,博时基金,3091230369.25
148,003188.OF,博时基金,8020203844.05
149,003192.OF,创金合信基金,925837245.98
150,003193.OF,创金合信基金,205620790.34
151,003209.OF,鹏华基金,1057432448.27
152,003213.OF,中银基金,21128901826.98
153,003214.OF,易方达基金,4514959535.88
154,003223.OF,广发基金,4656914940.13
155,003258.OF,博时基金,4393800857.64
156,003260.OF,博时基金,292906783.7
