,thscode,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,wwsum,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,H,HCategory
3844,740101.OF,1600.0,1602.0,859.0,696.0,494.0,400.0,632.0,320.0,237.0,325.0,6516453.07,0.31035840790609726,0.1734413779795701,0.09287399042068141,0.08148405801378694,0.0705080394294929,0.06129721425278368,0.06112779386593511,0.05184685539368121,0.04945187152249375,0.047610391215477596,1052.6852896463813,共振基金
3433,017040.OF,1600.0,1602.0,859.0,696.0,494.0,400.0,632.0,320.0,237.0,325.0,6516453.07,0.31035840790609726,0.1734413779795701,0.09287399042068141,0.08148405801378694,0.0705080394294929,0.06129721425278368,0.06112779386593511,0.05184685539368121,0.04945187152249375,0.047610391215477596,1052.6852896463813,共振基金
865,512320.SH,1600.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,718.0,4840786.6,0.3143910537184184,0.14367945903667806,0.09609843160613608,0.09123290004149326,0.0742809030251406,0.07188914297523465,0.06935876908930462,0.049545666813736434,0.046231122850984595,0.04329255084287335,1029.1141886320706,共振基金
1015,515780.SH,1600.0,1602.0,483.0,859.0,400.0,494.0,565.0,514.0,718.0,216.0,3817540.66,0.3113976001502496,0.1426363851747423,0.09414698938661731,0.08997860942232898,0.07165450858616394,0.07103617856423826,0.0704956473207544,0.05497256445724405,0.049406939388040465,0.04427457754962065,1026.3813764016331,共振基金
867,512360.SH,1600.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,718.0,13106388.4,0.30965052126793374,0.14418963808519514,0.096982323520948,0.09110526588697768,0.07490011512248484,0.07222126882795568,0.06699923527369293,0.05261098473169008,0.046568893075074745,0.044771754208047125,1024.6442516383843,共振基金
1014,515770.SH,1600.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,718.0,15108606.150000002,0.3075643083064945,0.1459636175637552,0.09372479406381241,0.09202337966828263,0.07545770858551369,0.07253931892320853,0.06757349419688195,0.05292126831964574,0.04702683973266455,0.04520527063974064,1024.6195856723684,共振基金
858,512180.SH,1600.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,718.0,22410431.889999997,0.30906749294245756,0.14476482273631008,0.09733084711202325,0.09128650442979036,0.0751895835060589,0.07242070157176253,0.06698064755591822,0.052173023962190146,0.04683456816681635,0.04395180801667273,1024.41971007146,共振基金
976,515160.SH,1600.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,718.0,139728251.2,0.30699301416577096,0.14510572934158358,0.09740202344992922,0.09142615677422863,0.0752288095623142,0.07245836051800526,0.06746563360695665,0.05252412405487832,0.046850904836916764,0.04454524368941648,1022.6876477632466,共振基金
2601,012394.OF,1600.0,1602.0,859.0,696.0,632.0,320.0,297.0,389.0,348.0,718.0,117935219.2,0.23090527312133066,0.20548091540749855,0.10804323836793275,0.09862031103936762,0.07282362349651697,0.0614017089137695,0.061343019066521565,0.05600243120589375,0.0527805013822368,0.052598977998931803,1021.8883217067018,共振基金
863,512280.SH,1600.0,1602.0,483.0,859.0,400.0,565.0,494.0,514.0,216.0,718.0,10436382.719999999,0.30574932767509705,0.14484094446854476,0.0969266178847071,0.09203217875091496,0.07485244082731378,0.072189456846596,0.06731205809976276,0.05458021378503069,0.0466363694259001,0.04488039223613295,1021.4372987616922,共振基金
