,thscode,Stable_Count,XStable,YStable
266,000549.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
267,630002.OF,行业轮动基金,风格轮动基金,稳定中盘
268,400007.OF,行业轮动基金,风格轮动基金,风格轮动基金
269,004183.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
270,000173.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
271,481008.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
272,070006.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
273,000031.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
274,519026.OF,行业轮动基金,风格轮动基金,风格轮动基金
275,004374.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
276,166301.OF,行业轮动基金,风格轮动基金,稳定中盘
277,000612.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
278,001651.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
279,000263.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
280,163409.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
281,163411.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
282,000976.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
283,004394.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
284,519704.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
285,001476.OF,行业轮动基金,风格轮动基金,风格轮动基金
286,001496.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
287,162006.SZ,稳定行业均衡基金,风格轮动基金,稳定中盘
288,000628.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
289,519688.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
290,001605.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
291,000513.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
292,003834.OF,行业轮动基金,风格轮动基金,风格轮动基金
293,003131.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
294,000746.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
295,450002.OF,稳定行业均衡基金,稳定价值型,稳定大盘
296,217020.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
297,005268.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
298,000751.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
299,550001.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
300,001810.OF,稳定行业均衡基金,稳定价值型,稳定小盘
301,530001.OF,行业轮动基金,风格轮动基金,风格轮动基金
302,001040.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
303,519035.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
304,000390.OF,行业轮动基金,风格轮动基金,稳定中盘
305,001102.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
306,688888.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
307,000971.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
308,001473.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
309,001416.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
310,004640.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
311,460001.OF,稳定行业均衡基金,稳定成长型,风格轮动基金
312,000308.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
313,450009.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
314,000595.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
315,530003.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
316,519008.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
317,519087.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
318,257020.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
319,530006.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
320,090015.OF,行业轮动基金,风格轮动基金,稳定大盘
321,481006.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
322,001955.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
323,501051.SH,稳定行业均衡基金,风格轮动基金,风格轮动基金
324,001054.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
325,002210.OF,稳定行业均衡基金,风格轮动基金,稳定小盘
326,166005.OF,稳定行业均衡基金,稳定价值型,稳定小盘
327,000021.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
328,163415.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
329,540008.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
330,005267.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
331,217013.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
332,700001.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
333,001070.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
334,001008.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
335,000893.OF,稳定行业均衡基金,稳定价值型,稳定中盘
336,229002.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
337,481001.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
338,040020.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
339,004476.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
340,501049.SH,稳定行业均衡基金,稳定价值型,风格轮动基金
341,519975.OF,稳定行业均衡基金,风格轮动基金,稳定小盘
342,000471.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
343,040016.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
344,750001.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
345,040008.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
346,070001.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
347,168101.SZ,稳定行业均衡基金,风格轮动基金,稳定大盘
348,090004.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
349,002593.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
350,100026.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
351,233011.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
352,163805.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
353,001869.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
354,320005.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
355,519003.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
356,202007.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
357,000577.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
358,002259.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
359,002124.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
360,202023.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
361,519133.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
362,400001.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
363,005521.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
364,001490.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
365,160133.SZ,稳定行业均衡基金,风格轮动基金,稳定大盘
366,001607.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
