,thscode,Stable_Count,XStable,YStable
459,519002.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
460,004958.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
461,000408.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
462,690005.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
463,001280.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
464,002340.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
465,110013.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
466,001018.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
467,001667.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
468,257010.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
469,519020.OF,行业轮动基金,风格轮动基金,风格轮动基金
470,450004.OF,稳定行业均衡基金,稳定均衡-价值型,稳定大盘
471,001705.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
472,519965.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
473,001564.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
474,000172.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
475,000480.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
476,166006.SZ,稳定行业均衡基金,风格轮动基金,风格轮动基金
477,000877.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
478,001074.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
479,001017.OF,稳定行业均衡基金,风格轮动基金,风格轮动基金
480,161005.SZ,稳定行业均衡基金,风格轮动基金,稳定大盘
481,004881.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
482,002121.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
483,180010.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
484,550003.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
485,660006.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
486,001974.OF,稳定行业均衡基金,风格轮动基金,稳定大盘
487,000082.OF,稳定行业均衡基金,稳定均衡-价值型,风格轮动基金
488,001186.OF,稳定行业均衡基金,风格轮动基金,稳定中盘
489,001583.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
490,003580.OF,稳定行业均衡基金,稳定价值型,稳定小盘
491,001878.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
492,002653.OF,稳定行业均衡基金,稳定价值型,稳定小盘
493,001703.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
494,004263.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
495,519139.OF,稳定行业均衡基金,稳定价值型,风格轮动基金
496,002685.OF,稳定行业均衡基金,稳定价值型,稳定小盘
