jydm,FrawX,FrawY,Xstyle,Ystyle
163302.SZ,131.2645481680812,56.356424896072156,价值型,小盘
420005.OF,129.7459863807873,64.66587938821239,价值型,小盘
005521.OF,128.89588501855508,137.9143014299698,价值型,中盘
000480.OF,128.64166499338324,84.65289524550064,价值型,小盘
001564.OF,125.61085545039612,100.4693645623194,价值型,中盘
162209.OF,122.92199685530657,315.7351547986794,价值型,大盘
320011.OF,121.96692184139437,183.66368962465862,价值型,中盘
003298.OF,120.68430103455219,171.79411403095958,价值型,中盘
233009.OF,120.13316272125122,-113.19759436422736,价值型,小盘
002803.OF,120.06306342222175,188.78870528268595,价值型,中盘
002210.OF,119.3042535072487,-39.32688949123013,价值型,小盘
070019.OF,116.94496240884098,134.40940379915617,价值型,中盘
001528.OF,114.94807017373896,214.0891156004931,价值型,大盘
320015.OF,114.52717806997346,197.45040731274347,价值型,中盘
001371.OF,113.52570761736058,172.26847861164904,价值型,中盘
000628.OF,106.17193461906982,134.7742460926009,价值型,中盘
000965.OF,105.1516321833635,95.7063008486399,价值型,小盘
240008.OF,104.90273501388207,272.8820597174182,价值型,大盘
000251.OF,103.13528630817049,326.6635795102217,价值型,大盘
050018.OF,101.89160181780763,318.2717667911878,价值型,大盘
257010.OF,101.82354472620699,53.74048972796412,价值型,小盘
000893.OF,101.59449025950425,128.1448779138712,价值型,中盘
000991.OF,98.31341281597169,195.07843110694571,价值型,中盘
501049.SH,98.09333478806431,180.4975579936841,价值型,中盘
005335.OF,96.01035085654395,114.16175877642902,价值型,中盘
001605.OF,86.75736165054713,87.28212785411665,价值型,小盘
001703.OF,86.44297346047908,88.41355416802702,价值型,小盘
000979.OF,82.75180113689154,90.7050697672156,价值型,小盘
004871.OF,82.1740688541325,220.62731294378733,价值型,大盘
090013.OF,81.75929229851269,97.11864491202559,价值型,小盘
005267.OF,81.69347091181075,171.80694680377724,价值型,中盘
001878.OF,75.92997035474086,52.7106204369358,价值型,小盘
002653.OF,75.85192271347584,64.72426881278543,价值型,小盘
003580.OF,72.34716684155183,58.53031029313628,价值型,小盘
000880.OF,71.84394101995275,87.65735253438561,价值型,小盘
001810.OF,65.93885042962661,13.73764314684768,价值型,小盘
166005.OF,61.13876368087288,32.80893946771264,价值型,小盘
001583.OF,52.812769722802265,178.8574990373252,价值型,中盘
166024.SZ,52.051461612464145,19.28617369270128,价值型,小盘
004263.OF,25.476595155022626,45.383106717005695,价值型,小盘
002685.OF,19.063041709277005,9.803362033341882,价值型,小盘
002121.OF,9.858154320422775,22.128894724928312,价值型,小盘
160322.SZ,5.594035143489548,3.8295648315747837,价值型,小盘
