jydm,FrawX,FrawY,Xstyle,Ystyle
001726.OF,228.11479947788774,288.7258669500424,成长型,大盘
070032.OF,227.82119109983202,350.79866029970066,成长型,大盘
000264.OF,227.69435093240799,30.19594311387771,成长型,小盘
217012.OF,227.5238199073274,137.18446350856826,成长型,中盘
001245.OF,227.4091508903273,223.6822538880842,成长型,大盘
001717.OF,227.36899866270926,202.92305330501114,成长型,大盘
630006.OF,227.33784254290447,89.7770137193899,成长型,小盘
630010.OF,227.24246984960024,90.24717265884084,成长型,小盘
110023.OF,227.1399580184131,84.61735541091664,成长型,小盘
162703.SZ,227.07907677692526,197.77648102572522,成长型,中盘
519089.OF,226.96266469283816,192.5437726322648,成长型,中盘
040011.OF,226.89574751257786,327.2870550228854,成长型,大盘
000524.OF,226.86678709407644,239.91545746404836,成长型,大盘
001072.OF,226.4227843367826,94.48873106155403,成长型,小盘
519664.OF,226.21837456114557,246.67945287346186,成长型,大盘
340007.OF,226.16343458516985,218.12547514767633,成长型,大盘
000831.OF,226.12548321021538,191.55924597796343,成长型,中盘
000021.OF,226.01430413515686,213.29735662778134,成长型,大盘
410003.OF,225.97685213281787,200.70079241879458,成长型,大盘
180012.OF,225.88728807443465,290.14816708050336,成长型,大盘
002168.OF,225.88483980984387,200.44518311512928,成长型,大盘
001766.OF,225.47910811958062,155.31600618736718,成长型,中盘
002124.OF,225.341108426389,104.68952708534529,成长型,中盘
004394.OF,225.19715046894515,228.49067270978975,成长型,大盘
000595.OF,225.10337505364123,147.4355899781863,成长型,中盘
000751.OF,224.88898794003106,151.3874374837173,成长型,中盘
000513.OF,224.72266941442777,117.26938301165183,成长型,中盘
000339.OF,224.68861752311992,103.21996059581423,成长型,中盘
003095.OF,224.4537272714274,222.32476425101387,成长型,大盘
001018.OF,224.42805223024033,173.84501923044823,成长型,中盘
217013.OF,224.4158820091641,163.55914068074992,成长型,中盘
000939.OF,224.41159068126734,270.1361778201577,成长型,大盘
001126.OF,224.2531715668802,277.0068461646958,成长型,大盘
040025.OF,224.21385389038704,88.47439677581421,成长型,小盘
004851.OF,223.9337845614793,216.8691533944244,成长型,大盘
660004.OF,223.77420725902724,211.59617853158207,成长型,大盘
003984.OF,223.37958582648744,194.31507068418185,成长型,中盘
000940.OF,223.29512000575878,68.42767133756675,成长型,小盘
090015.OF,223.2620070819779,289.33395908294983,成长型,大盘
000996.OF,223.0212857484131,265.150306161005,成长型,大盘
070002.OF,222.93306004945785,119.41176591589847,成长型,中盘
000976.OF,222.74889504354877,145.03038114197523,成长型,中盘
519035.OF,222.5253280498626,118.83873340948394,成长型,中盘
001171.OF,222.5055841848669,166.47542080599356,成长型,中盘
162006.SZ,222.12211842536774,141.90407232257175,成长型,中盘
000960.OF,222.1206205299667,135.4278990267453,成长型,中盘
000609.OF,222.09101775659408,212.32225034878823,成长型,大盘
001143.OF,222.07866573302346,217.59792959325316,成长型,大盘
519674.OF,221.85009756178485,170.9697474158542,成长型,中盘
000294.OF,221.67645536363062,262.3377851615525,成长型,大盘
040007.OF,221.61066708066653,111.19499850858891,成长型,中盘
040020.OF,221.58709112976257,200.67303575577512,成长型,大盘
370027.OF,221.53102911174472,283.99029289635894,成长型,大盘
000020.OF,221.36691575949732,183.74336258498454,成长型,中盘
519025.OF,221.22152549349983,154.54732081839956,成长型,中盘
202212.OF,220.6093970589225,322.9482450492755,成长型,大盘
070006.OF,220.60721782594348,366.16642017704805,成长型,大盘
110013.OF,220.45058606165992,182.06509989036962,成长型,中盘
000263.OF,220.442606906733,197.57043198250312,成长型,中盘
519001.OF,220.1891449379127,231.21730411421657,成长型,大盘
040016.OF,219.94546993876824,199.9200051345285,均衡型,中盘
260116.OF,219.70188591523814,293.8496671716668,均衡型,大盘
001790.OF,219.57792583449572,191.3957562349976,均衡型,中盘
519694.OF,219.0101741113732,132.45871934881794,均衡型,中盘
020005.OF,218.7989925050432,346.6704056934764,均衡型,大盘
202007.OF,218.75316462939657,224.85462045978278,均衡型,大盘
519692.OF,218.73306789681516,131.18483546707012,均衡型,中盘
320012.OF,218.7102398363885,264.5441505543954,均衡型,大盘
001106.OF,218.68540885003424,143.2458905426003,均衡型,中盘
630016.OF,218.62759754407128,143.4778740322782,均衡型,中盘
001480.OF,218.466058668892,49.084153038915424,均衡型,小盘
160133.SZ,218.4230241716398,224.370988430157,均衡型,大盘
001366.OF,218.0756452874143,217.38220128390037,均衡型,大盘
160314.SZ,217.62190542849078,175.50743402235202,均衡型,中盘
001166.OF,217.27959622298678,215.19369222465718,均衡型,大盘
202011.OF,217.07223991076123,254.0400966640038,均衡型,大盘
001838.OF,217.05508742584777,113.73597814921357,均衡型,中盘
121008.OF,216.83676776086662,277.9525048548755,均衡型,大盘
202005.OF,216.12930113816003,366.04937581489963,均衡型,大盘
004640.OF,215.9637922312158,46.84096799713623,均衡型,小盘
162208.OF,215.49685122722448,170.8544734860239,均衡型,中盘
001705.OF,215.47728762243005,262.9668362693109,均衡型,大盘
100039.OF,215.46507730265898,84.44808656455976,均衡型,小盘
020023.OF,215.29433669117546,84.33147710558302,均衡型,小盘
001410.OF,215.0797223108165,51.076491225402314,均衡型,小盘
161903.SZ,215.0592277323379,164.77355107057053,均衡型,中盘
375010.OF,214.86481841391497,200.87935345925862,均衡型,大盘
690007.OF,214.61944634714988,324.3938424544252,均衡型,大盘
