,thscode,HCategory20230630,HCategory20230331,HCategory20221231,HCategory20220930,HCategory20220630,HCategory20220331,independent
806,011067.OF,短,短,短,短,短,短,稳定短
807,005307.OF,短,短,短,短,短,短,稳定短
808,005845.OF,短,短,短,短,短,短,稳定短
809,002578.OF,短,短,短,短,短,短,稳定短
810,013901.OF,短,短,短,短,短,短,稳定短
811,013065.OF,短,短,短,短,短,短,稳定短
812,006646.OF,短,短,短,短,短,短,稳定短
813,013336.OF,短,短,短,短,短,短,稳定短
814,005709.OF,短,短,短,短,短,短,稳定短
815,012356.OF,短,短,短,短,短,短,稳定短
816,006885.OF,短,短,短,短,短,短,稳定短
817,011617.OF,短,短,短,短,短,短,稳定短
818,006884.OF,短,短,短,短,短,短,稳定短
819,006824.OF,短,短,短,短,短,短,稳定短
820,005854.OF,短,短,短,短,短,短,稳定短
821,007754.OF,短,短,短,短,短,短,稳定短
822,016396.OF,短,短,短,短,短,短,稳定短
823,011961.OF,短,短,短,短,短,短,稳定短
824,007513.OF,短,短,短,短,短,短,稳定短
825,015581.OF,短,短,短,短,短,短,稳定短
826,008366.OF,短,短,短,短,短,短,稳定短
827,015473.OF,短,短,短,短,短,短,稳定短
828,013563.OF,短,短,短,短,短,短,稳定短
829,006436.OF,短,短,短,短,短,短,稳定短
830,005853.OF,短,短,短,短,短,短,稳定短
831,006953.OF,短,短,短,短,短,短,稳定短
832,002483.OF,短,短,短,短,短,短,稳定短
833,002301.OF,短,短,短,短,短,短,稳定短
834,008406.OF,短,短,短,短,短,短,稳定短
835,007515.OF,短,短,短,短,短,短,稳定短
836,005816.OF,短,短,短,短,短,短,稳定短
837,008582.OF,短,短,短,短,短,短,稳定短
838,001545.OF,短,短,短,短,短,短,稳定短
839,016483.OF,短,短,短,短,短,短,稳定短
840,006677.OF,短,短,短,短,短,短,稳定短
841,012265.OF,短,短,短,短,短,短,稳定短
842,015925.OF,短,短,短,短,短,短,稳定短
843,005383.OF,短,短,短,短,短,短,稳定短
844,012580.OF,短,短,短,短,短,短,稳定短
845,015081.OF,短,短,短,短,短,短,稳定短
846,007374.OF,短,短,短,短,短,短,稳定短
847,012933.OF,短,短,短,短,短,短,稳定短
848,013838.OF,短,短,短,短,短,短,稳定短
849,006852.OF,短,短,短,短,短,短,稳定短
850,016871.OF,短,短,短,短,短,短,稳定短
851,016526.OF,短,短,短,短,短,短,稳定短
852,014252.OF,短,短,短,短,短,短,稳定短
853,006169.OF,短,短,短,短,短,短,稳定短
854,017614.OF,短,短,短,短,短,短,稳定短
855,004030.OF,短,短,短,短,短,短,稳定短
856,007535.OF,短,短,短,短,短,短,稳定短
857,017529.OF,短,短,短,短,短,短,稳定短
858,006764.OF,短,短,短,短,短,短,稳定短
859,009599.OF,短,短,短,短,短,短,稳定短
860,003428.OF,短,短,短,短,短,短,稳定短
861,010048.OF,短,短,短,短,短,短,稳定短
862,005754.OF,短,短,短,短,短,短,稳定短
863,013216.OF,短,短,短,短,短,短,稳定短
864,004736.OF,短,短,短,短,短,短,稳定短
865,013808.OF,短,短,短,短,短,短,稳定短
866,006088.OF,短,短,短,短,短,短,稳定短
867,007560.OF,短,短,短,短,短,短,稳定短
868,012101.OF,短,短,短,短,短,短,稳定短
869,013648.OF,短,短,短,短,短,短,稳定短
870,007915.OF,短,短,短,短,短,短,稳定短
871,016947.OF,短,短,短,短,短,短,稳定短
872,005362.OF,短,短,短,短,短,短,稳定短
873,003280.OF,短,短,短,短,短,短,稳定短
874,519328.OF,短,短,短,短,短,短,稳定短
875,012229.OF,短,短,短,短,短,短,稳定短
876,000111.OF,短,短,短,短,短,短,稳定短
877,016427.OF,短,短,短,短,短,短,稳定短
878,006893.OF,短,短,短,短,短,短,稳定短
879,013799.OF,短,短,短,短,短,短,稳定短
880,016674.OF,短,短,短,短,短,短,稳定短
881,004887.OF,短,短,短,短,短,短,稳定短
882,015654.OF,短,短,短,短,短,短,稳定短
883,006793.OF,短,短,短,短,短,短,稳定短
884,004956.OF,短,短,短,短,短,短,稳定短
885,007997.OF,短,短,短,短,短,短,稳定短
886,006597.OF,短,短,短,短,短,短,稳定短
887,013728.OF,短,短,短,短,短,短,稳定短
888,018085.OF,短,短,短,短,短,短,稳定短
889,008746.OF,短,短,短,短,短,短,稳定短
890,015917.OF,短,短,短,短,短,短,稳定短
891,006806.OF,短,短,短,短,短,短,稳定短
892,000207.OF,短,短,短,短,短,短,稳定短
893,016497.OF,短,短,短,短,短,短,稳定短
894,014856.OF,短,短,短,短,短,短,稳定短
895,004052.OF,短,短,短,短,短,短,稳定短
896,000346.OF,短,短,短,短,短,短,稳定短
897,009356.OF,短,短,短,短,短,短,稳定短
898,008302.OF,短,短,短,短,短,短,稳定短
899,001368.OF,短,短,短,短,短,短,稳定短
900,007717.OF,短,短,短,短,短,短,稳定短
901,006834.OF,短,短,短,短,短,短,稳定短
902,014815.OF,短,短,短,短,短,短,稳定短
903,002864.OF,短,短,短,短,短,短,稳定短
904,015746.OF,短,短,短,短,短,短,稳定短
905,006626.OF,短,短,短,短,短,短,稳定短
906,012823.OF,短,短,短,短,短,短,稳定短
907,016695.OF,短,短,短,短,短,短,稳定短
908,008022.OF,短,短,短,短,短,短,稳定短
909,531028.OF,短,短,短,短,短,短,稳定短
910,007996.OF,短,短,短,短,短,短,稳定短
911,012452.OF,短,短,短,短,短,短,稳定短
912,008278.OF,短,短,短,短,短,短,稳定短
913,000139.OF,短,短,短,短,短,短,稳定短
914,006683.OF,短,短,短,短,短,短,稳定短
915,013459.OF,短,短,短,短,短,短,稳定短
916,012352.OF,短,短,短,短,短,短,稳定短
917,006965.OF,短,短,短,短,短,短,稳定短
918,006829.OF,短,短,短,短,短,短,稳定短
919,018666.OF,短,短,短,短,短,短,稳定短
920,017314.OF,短,短,短,短,短,短,稳定短
921,009792.OF,短,短,短,短,短,短,稳定短
922,009851.OF,短,短,短,短,短,短,稳定短
923,010168.OF,短,短,短,短,短,短,稳定短
924,009643.OF,短,短,短,短,短,短,稳定短
925,008223.OF,短,短,短,短,短,短,稳定短
926,003162.OF,短,短,短,短,短,短,稳定短
927,016812.OF,短,短,短,短,短,短,稳定短
928,008104.OF,短,短,短,短,短,短,稳定短
929,017438.OF,短,短,短,短,短,短,稳定短
930,007967.OF,短,短,短,短,短,短,稳定短
931,014476.OF,短,短,短,短,短,短,稳定短
932,006150.OF,短,短,短,短,短,短,稳定短
933,003258.OF,短,短,短,短,短,短,稳定短
934,012395.OF,短,短,短,短,短,短,稳定短
935,006517.OF,短,短,短,短,短,短,稳定短
936,006411.OF,短,短,短,短,短,短,稳定短
937,006076.OF,短,短,短,短,短,短,稳定短
938,007867.OF,短,短,短,短,短,短,稳定短
939,006319.OF,短,短,短,短,短,短,稳定短
940,007158.OF,短,短,短,短,短,短,稳定短
941,007836.OF,短,短,短,短,短,短,稳定短
942,270043.OF,短,短,短,短,短,短,稳定短
943,014740.OF,短,短,短,短,短,短,稳定短
944,006029.OF,短,短,短,短,短,短,稳定短
945,006662.OF,短,短,短,短,短,短,稳定短
946,006664.OF,短,短,短,短,短,短,稳定短
947,007928.OF,短,短,短,短,短,短,稳定短
948,005972.OF,短,短,短,短,短,短,稳定短
949,007758.OF,短,短,短,短,短,短,稳定短
950,006998.OF,短,短,短,短,短,短,稳定短
951,485120.OF,短,短,短,短,短,短,稳定短
952,013864.OF,短,短,短,短,短,短,稳定短
953,000783.OF,短,短,短,短,短,短,稳定短
954,014059.OF,短,短,短,短,短,短,稳定短
955,004544.OF,短,短,短,短,短,短,稳定短
956,014250.OF,短,短,短,短,短,短,稳定短
957,007830.OF,短,短,短,短,短,短,稳定短
958,013236.OF,短,短,短,短,短,短,稳定短
959,017201.OF,短,短,短,短,短,短,稳定短
960,970098.OF,短,短,短,短,短,短,稳定短
961,970096.OF,短,短,短,短,短,短,稳定短
962,007653.OF,短,短,短,短,短,短,稳定短
963,016885.OF,短,短,短,短,短,短,稳定短
964,005718.OF,短,短,短,短,短,短,稳定短
965,009417.OF,短,短,短,短,短,短,稳定短
966,012742.OF,短,短,短,短,短,短,稳定短
967,009212.OF,短,短,短,短,短,短,稳定短
968,007823.OF,短,短,短,短,短,短,稳定短
969,008478.OF,短,短,短,短,短,短,稳定短
970,007268.OF,短,短,短,短,短,短,稳定短
971,009799.OF,短,短,短,短,短,短,稳定短
972,007682.OF,短,短,短,短,短,短,稳定短
973,970132.OF,短,短,短,短,短,短,稳定短
974,014474.OF,短,短,短,短,短,短,稳定短
975,016426.OF,短,短,短,短,短,短,稳定短
976,008027.OF,短,短,短,短,短,短,稳定短
977,261001.OF,短,短,短,短,短,短,稳定短
978,008608.OF,短,短,短,短,短,短,稳定短
979,016208.OF,短,短,短,短,短,短,稳定短
980,000799.OF,短,短,短,短,短,短,稳定短
981,960040.OF,短,短,短,短,短,短,稳定短
982,H000355.OF,短,短,短,短,短,短,稳定短
983,H202108.OF,短,短,短,短,短,短,稳定短
984,H217003.OF,短,短,短,短,短,短,稳定短
985,001369.OF,短,短,短,短,短,短,稳定短
986,011955.OF,短,短,短,短,短,短,稳定短
987,014858.OF,短,短,短,短,短,短,稳定短
988,016432.OF,短,短,短,短,短,短,稳定短
989,016951.OF,短,短,短,短,短,短,稳定短
990,017500.OF,短,短,短,短,短,短,稳定短
991,017681.OF,短,短,短,短,短,短,稳定短
992,018256.OF,短,短,短,短,短,短,稳定短
993,018407.OF,短,短,短,短,短,短,稳定短
994,018559.OF,短,短,短,短,短,短,稳定短
995,018584.OF,短,短,短,短,短,短,稳定短
