,thscode,INDtype20230630,INDtype20221231,INDtype20220630,INDtype20211231,INDtype20210630,INDtype20201231,Stable_Count
176,003745.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
177,519736.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
178,700003.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
179,001125.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
180,233006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
181,180013.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
182,180018.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
183,001790.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,制造行业基金,行业均衡基金,行业轮动基金
184,040004.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,消费行业基金,行业轮动基金
185,630006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
186,163406.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
187,000991.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
188,004434.OF,行业均衡基金,制造行业基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业轮动基金
189,320012.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
190,001158.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
191,001256.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
192,270006.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
193,005241.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
194,160918.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
195,002808.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
196,001410.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
197,161810.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
198,340007.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
199,001373.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
200,165313.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
201,002168.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
202,160421.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
203,163822.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
204,005299.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
205,040005.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
206,000117.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
207,519672.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
208,233009.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
209,000619.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
210,001672.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
211,003984.OF,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
212,160613.SZ,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,行业均衡基金,稳定行业均衡基金
213,398021.OF,行业均衡基金,制造行业基金,制造行业基金,制造行业基金,制造行业基金,行业均衡基金,行业轮动基金
