,thscode,杠杆比例标签20230630,杠杆比例标签20230331,杠杆比例标签20221231,杠杆比例标签20220930,杠杆比例标签20220630,杠杆比例标签20220331,lever
124,011719.OF,大,大,大,大,大,大,稳定大
125,004919.OF,大,大,大,大,大,大,稳定大
126,009577.OF,大,大,大,大,大,大,稳定大
127,009450.OF,大,大,大,大,大,大,稳定大
128,519138.OF,大,大,大,大,大,大,稳定大
129,007268.OF,大,大,大,大,大,大,稳定大
130,013723.OF,大,大,大,大,大,大,稳定大
131,000516.OF,大,大,大,大,大,大,稳定大
132,014952.OF,大,大,大,大,大,大,稳定大
133,008338.OF,大,大,大,大,大,大,稳定大
134,161014.SZ,大,大,大,大,大,大,稳定大
135,006421.OF,大,大,大,大,大,大,稳定大
136,016875.OF,大,大,大,大,大,大,稳定大
137,004504.OF,大,大,大,大,大,大,稳定大
138,008349.OF,大,大,大,大,大,大,稳定大
139,011088.OF,大,大,大,大,大,大,稳定大
140,008003.OF,大,大,大,大,大,大,稳定大
141,015260.OF,大,大,大,大,大,大,稳定大
142,001819.OF,大,大,大,大,大,大,稳定大
143,011960.OF,大,大,大,大,大,大,稳定大
144,005740.OF,大,大,大,大,大,大,稳定大
145,015018.OF,大,大,大,大,大,大,稳定大
146,007830.OF,大,大,大,大,大,大,稳定大
147,015397.OF,大,大,大,大,大,大,稳定大
148,008674.OF,大,大,大,大,大,大,稳定大
149,007758.OF,大,大,大,大,大,大,稳定大
150,013538.OF,大,大,大,大,大,大,稳定大
151,011943.OF,大,大,大,大,大,大,稳定大
152,008017.OF,大,大,大,大,大,大,稳定大
153,007990.OF,大,大,大,大,大,大,稳定大
154,006782.OF,大,大,大,大,大,大,稳定大
155,006986.OF,大,大,大,大,大,大,稳定大
156,005398.OF,大,大,大,大,大,大,稳定大
157,000032.OF,大,大,大,大,大,大,稳定大
158,006841.OF,大,大,大,大,大,大,稳定大
159,016023.OF,大,大,大,大,大,大,稳定大
160,018196.OF,大,大,大,大,大,大,稳定大
161,012933.OF,大,大,大,大,大,大,稳定大
162,013159.OF,大,大,大,大,大,大,稳定大
163,008278.OF,大,大,大,大,大,大,稳定大
164,012356.OF,大,大,大,大,大,大,稳定大
165,009294.OF,大,大,大,大,大,大,稳定大
166,010477.OF,大,大,大,大,大,大,稳定大
167,007544.OF,大,大,大,大,大,大,稳定大
168,008620.OF,大,大,大,大,大,大,稳定大
169,007417.OF,大,大,大,大,大,大,稳定大
170,011683.OF,大,大,大,大,大,大,稳定大
171,004042.OF,大,大,大,大,大,大,稳定大
172,009851.OF,大,大,大,大,大,大,稳定大
173,008048.OF,大,大,大,大,大,大,稳定大
174,014105.OF,大,大,大,大,大,大,稳定大
175,009799.OF,大,大,大,大,大,大,稳定大
176,003662.OF,大,大,大,大,大,大,稳定大
177,005439.OF,大,大,大,大,大,大,稳定大
