,time,thscode,close
0,2018-11-14,CI005925.CI,1031.9142
1,2018-11-15,CI005925.CI,1041.2324
2,2018-11-16,CI005925.CI,1043.3201
3,2018-11-19,CI005925.CI,1047.1939
4,2018-11-20,CI005925.CI,1025.3924
5,2018-11-21,CI005925.CI,1023.4442
6,2018-11-22,CI005925.CI,1019.7853
7,2018-11-23,CI005925.CI,980.0372
8,2018-11-26,CI005925.CI,969.4812
9,2018-11-27,CI005925.CI,973.7721
10,2018-11-28,CI005925.CI,982.6091
11,2018-11-29,CI005925.CI,967.2784
12,2018-11-30,CI005925.CI,977.5123
13,2018-12-03,CI005925.CI,1005.215
14,2018-12-04,CI005925.CI,1013.8075
15,2018-12-05,CI005925.CI,1009.1055
16,2018-12-06,CI005925.CI,994.3937
17,2018-12-07,CI005925.CI,997.192
18,2018-12-10,CI005925.CI,988.5433
19,2018-12-11,CI005925.CI,992.8998
20,2018-12-12,CI005925.CI,994.8966
21,2018-12-13,CI005925.CI,1002.8915
22,2018-12-14,CI005925.CI,981.9131
23,2018-12-17,CI005925.CI,983.0629
24,2018-12-18,CI005925.CI,978.1535
25,2018-12-19,CI005925.CI,964.8408
26,2018-12-20,CI005925.CI,965.1167
27,2018-12-21,CI005925.CI,956.8283
28,2018-12-24,CI005925.CI,961.4728
29,2018-12-25,CI005925.CI,944.2586
30,2018-12-26,CI005925.CI,939.9301
31,2018-12-27,CI005925.CI,927.93
32,2018-12-28,CI005925.CI,928.7958
33,2019-01-02,CI005925.CI,918.7276
34,2019-01-03,CI005925.CI,917.8236
35,2019-01-04,CI005925.CI,936.3058
36,2019-01-07,CI005925.CI,950.1687
37,2019-01-08,CI005925.CI,947.247
38,2019-01-09,CI005925.CI,952.2162
39,2019-01-10,CI005925.CI,950.5984
40,2019-01-11,CI005925.CI,957.1195
41,2019-01-14,CI005925.CI,957.9043
42,2019-01-15,CI005925.CI,963.2878
43,2019-01-16,CI005925.CI,960.6493
44,2019-01-17,CI005925.CI,956.7539
45,2019-01-18,CI005925.CI,972.0724
46,2019-01-21,CI005925.CI,979.3348
47,2019-01-22,CI005925.CI,967.5965
48,2019-01-23,CI005925.CI,970.2797
49,2019-01-24,CI005925.CI,966.3937
50,2019-01-25,CI005925.CI,963.4336
51,2019-01-28,CI005925.CI,958.8284
52,2019-01-29,CI005925.CI,950.1731
53,2019-01-30,CI005925.CI,942.7284
54,2019-01-31,CI005925.CI,934.2194
55,2019-02-01,CI005925.CI,954.3695
56,2019-02-11,CI005925.CI,973.6449
57,2019-02-12,CI005925.CI,984.4222
58,2019-02-13,CI005925.CI,1002.9018
59,2019-02-14,CI005925.CI,1004.2637
60,2019-02-15,CI005925.CI,997.5462
61,2019-02-18,CI005925.CI,1026.0232
62,2019-02-19,CI005925.CI,1026.2222
63,2019-02-20,CI005925.CI,1033.1636
64,2019-02-21,CI005925.CI,1026.9357
65,2019-02-22,CI005925.CI,1038.3193
66,2019-02-25,CI005925.CI,1093.8174
67,2019-02-26,CI005925.CI,1102.0079
68,2019-02-27,CI005925.CI,1095.1347
69,2019-02-28,CI005925.CI,1098.1583
70,2019-03-01,CI005925.CI,1107.9638
71,2019-03-04,CI005925.CI,1120.3874
72,2019-03-05,CI005925.CI,1133.7222
73,2019-03-06,CI005925.CI,1159.5632
74,2019-03-07,CI005925.CI,1172.2407
75,2019-03-08,CI005925.CI,1107.8084
76,2019-03-11,CI005925.CI,1141.323
77,2019-03-12,CI005925.CI,1151.3689
78,2019-03-13,CI005925.CI,1136.9733
79,2019-03-14,CI005925.CI,1121.324
80,2019-03-15,CI005925.CI,1137.6438
81,2019-03-18,CI005925.CI,1171.1189
82,2019-03-19,CI005925.CI,1169.1011
83,2019-03-20,CI005925.CI,1166.0813
84,2019-03-21,CI005925.CI,1173.2585
85,2019-03-22,CI005925.CI,1175.7247
86,2019-03-25,CI005925.CI,1158.9365
87,2019-03-26,CI005925.CI,1133.8815
88,2019-03-27,CI005925.CI,1144.8291
89,2019-03-28,CI005925.CI,1128.6321
90,2019-03-29,CI005925.CI,1156.7294
91,2019-04-01,CI005925.CI,1202.9962
92,2019-04-02,CI005925.CI,1220.5828
93,2019-04-03,CI005925.CI,1229.3735
94,2019-04-04,CI005925.CI,1248.5911
95,2019-04-08,CI005925.CI,1282.3205
96,2019-04-09,CI005925.CI,1259.2285
97,2019-04-10,CI005925.CI,1251.3873
98,2019-04-11,CI005925.CI,1222.4915
99,2019-04-12,CI005925.CI,1215.7213
100,2019-04-15,CI005925.CI,1206.0478
101,2019-04-16,CI005925.CI,1233.161
102,2019-04-17,CI005925.CI,1240.3035
103,2019-04-18,CI005925.CI,1235.4638
104,2019-04-19,CI005925.CI,1242.821
105,2019-04-22,CI005925.CI,1226.8955
106,2019-04-23,CI005925.CI,1209.4662
107,2019-04-24,CI005925.CI,1215.5402
108,2019-04-25,CI005925.CI,1170.7268
109,2019-04-26,CI005925.CI,1149.4489
110,2019-04-29,CI005925.CI,1116.1321
111,2019-04-30,CI005925.CI,1126.3235
112,2019-05-06,CI005925.CI,1052.9627
113,2019-05-07,CI005925.CI,1062.7352
114,2019-05-08,CI005925.CI,1054.7275
115,2019-05-09,CI005925.CI,1042.8797
116,2019-05-10,CI005925.CI,1072.2556
117,2019-05-13,CI005925.CI,1060.5165
118,2019-05-14,CI005925.CI,1054.9107
119,2019-05-15,CI005925.CI,1075.6924
120,2019-05-16,CI005925.CI,1094.7709
121,2019-05-17,CI005925.CI,1057.5695
122,2019-05-20,CI005925.CI,1052.1145
123,2019-05-21,CI005925.CI,1074.8917
124,2019-05-22,CI005925.CI,1063.4248
125,2019-05-23,CI005925.CI,1046.1314
126,2019-05-24,CI005925.CI,1039.5753
127,2019-05-27,CI005925.CI,1061.3689
128,2019-05-28,CI005925.CI,1061.8126
129,2019-05-29,CI005925.CI,1067.4923
130,2019-05-30,CI005925.CI,1068.8683
131,2019-05-31,CI005925.CI,1063.7623
132,2019-06-03,CI005925.CI,1046.8793
133,2019-06-04,CI005925.CI,1034.1618
134,2019-06-05,CI005925.CI,1035.1846
135,2019-06-06,CI005925.CI,1021.5802
136,2019-06-10,CI005925.CI,1032.2996
137,2019-06-11,CI005925.CI,1064.4609
138,2019-06-12,CI005925.CI,1062.0616
139,2019-06-13,CI005925.CI,1066.7751
140,2019-06-14,CI005925.CI,1050.6593
141,2019-06-17,CI005925.CI,1053.3343
142,2019-06-18,CI005925.CI,1049.0535
143,2019-06-19,CI005925.CI,1056.8312
144,2019-06-20,CI005925.CI,1072.2715
145,2019-06-21,CI005925.CI,1084.9243
146,2019-06-24,CI005925.CI,1090.3728
147,2019-06-25,CI005925.CI,1083.6801
148,2019-06-26,CI005925.CI,1076.0824
149,2019-06-27,CI005925.CI,1081.2465
150,2019-06-28,CI005925.CI,1073.1285
151,2019-07-01,CI005925.CI,1094.8808
152,2019-07-02,CI005925.CI,1097.652
153,2019-07-03,CI005925.CI,1087.3758
154,2019-07-04,CI005925.CI,1082.3021
155,2019-07-05,CI005925.CI,1084.9288
156,2019-07-08,CI005925.CI,1051.066
157,2019-07-09,CI005925.CI,1055.5761
158,2019-07-10,CI005925.CI,1044.1221
159,2019-07-11,CI005925.CI,1051.1313
160,2019-07-12,CI005925.CI,1057.8154
161,2019-07-15,CI005925.CI,1062.4877
162,2019-07-16,CI005925.CI,1065.3193
163,2019-07-17,CI005925.CI,1067.0749
164,2019-07-18,CI005925.CI,1054.7705
165,2019-07-19,CI005925.CI,1060.8364
166,2019-07-22,CI005925.CI,1034.8396
167,2019-07-23,CI005925.CI,1042.456
168,2019-07-24,CI005925.CI,1051.7964
